tag,assignment_count,artist_count,sample_artists
90s,1615,775,Britney Spears; The Beatles; Madonna; Christina Aguilera; Muse; Beyoncé; Radiohead; Coldplay
new wave,1595,482,The Beatles; Madonna; Coldplay; The Killers; Kylie Minogue; Depeche Mode; Michael Jackson; Arctic Monkeys
seen live,1439,1001,Lady Gaga; Britney Spears; Rihanna; Madonna; Avril Lavigne; Muse; Paramore; Beyoncé
chillout,1387,723,The Beatles; Madonna; Muse; Beyoncé; Radiohead; Coldplay; Shakira; The Killers
hip-hop,1385,549,Rihanna; Madonna; Christina Aguilera; Beyoncé; P!nk; Black Eyed Peas; Kylie Minogue; Linkin Park
punk,1311,514,Avril Lavigne; Paramore; P!nk; The Killers; Black Eyed Peas; Linkin Park; Kelly Clarkson; Nirvana
folk,1309,654,The Beatles; Madonna; Paramore; Coldplay; Shakira; Depeche Mode; Kelly Clarkson; Pink Floyd
electronica,1289,738,Lady Gaga; Britney Spears; Madonna; Christina Aguilera; Muse; Radiohead; Kylie Minogue; Depeche Mode
rnb,1266,374,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Beyoncé
instrumental,1203,670,The Beatles; Madonna; Muse; Radiohead; Kylie Minogue; Depeche Mode; Linkin Park; Pink Floyd
heavy metal,1108,332,Metallica; Red Hot Chili Peppers; Queen; Led Zeppelin; System of a Down; AC/DC; Iron Maiden; Guns N' Roses
soul,1097,402,Rihanna; Avril Lavigne; Christina Aguilera; Beyoncé; P!nk; Black Eyed Peas; Kylie Minogue; Michael Jackson
acoustic,1045,589,Lady Gaga; Britney Spears; The Beatles; Madonna; Avril Lavigne; Muse; Paramore; Radiohead
progressive rock,1038,340,The Beatles; Muse; Radiohead; Coldplay; The Killers; Depeche Mode; Linkin Park; Pink Floyd
70s,1025,416,The Beatles; Michael Jackson; Pink Floyd; The Cure; Queen; David Bowie; Led Zeppelin; AC/DC
jazz,984,434,Madonna; Christina Aguilera; Muse; Beyoncé; Radiohead; Black Eyed Peas; Depeche Mode; Michael Jackson
soundtrack,945,580,Lady Gaga; Britney Spears; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
male vocalists,925,649,The Beatles; Muse; Radiohead; Coldplay; The Killers; Black Eyed Peas; Depeche Mode; Linkin Park
industrial,884,355,Depeche Mode; Evanescence; David Bowie; Joy Division; Rammstein; Nine Inch Nails; Marilyn Manson; Portishead
trip-hop,876,299,Radiohead; Depeche Mode; Björk; Nelly Furtado; Nine Inch Nails; Gorillaz; Massive Attack; Portishead
metalcore,867,260,Linkin Park; Metallica; Avenged Sevenfold; Slipknot; Bullet for My Valentine; A Day to Remember; Bring Me The Horizon; Pantera
rap,860,364,Rihanna; Madonna; Beyoncé; Radiohead; Ke$ha; Black Eyed Peas; Miley Cyrus; Linkin Park
synthpop,847,361,Lady Gaga; Katy Perry; Christina Aguilera; Muse; The Killers; Black Eyed Peas; Kylie Minogue; Depeche Mode
american,828,576,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
hardcore,823,403,Paramore; My Chemical Romance; Avenged Sevenfold; Slipknot; Los Hermanos; The Offspring; Bullet for My Valentine; Rise Against
indie pop,815,452,Lady Gaga; The Beatles; Katy Perry; Avril Lavigne; Coldplay; The Killers; Kylie Minogue; Depeche Mode
pop rock,811,366,Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse
00s,808,634,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse
britpop,765,218,The Beatles; Muse; Radiohead; Coldplay; The Killers; Depeche Mode; Arctic Monkeys; Lily Allen
post-punk,757,292,The Beatles; Paramore; Radiohead; The Killers; Depeche Mode; Arctic Monkeys; Placebo; The Cure
60s,745,284,The Beatles; Michael Jackson; Pink Floyd; David Bowie; Led Zeppelin; The Doors; The Rolling Stones; Bob Dylan
punk rock,744,283,Britney Spears; Avril Lavigne; Muse; Paramore; Kelly Clarkson; Nirvana; Green Day; Red Hot Chili Peppers
blues,705,278,The Beatles; Christina Aguilera; Kings of Leon; Led Zeppelin; Amy Winehouse; Franz Ferdinand; Guns N' Roses; Alicia Keys
psychedelic,700,341,The Beatles; Madonna; Muse; Radiohead; Depeche Mode; Pink Floyd; Nirvana; Kings of Leon
downtempo,685,361,Björk; Sigur Rós; Massive Attack; Portishead; Moby; Goldfrapp; Air; Röyksopp
beautiful,675,462,Lady Gaga; Britney Spears; Rihanna; The Beatles; Madonna; Avril Lavigne; Christina Aguilera; Muse
sexy,665,377,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse
thrash metal,654,158,Metallica; Queen; Rammstein; Avenged Sevenfold; Megadeth; Judas Priest; Slayer; Pantera
idm,640,293,Radiohead; Depeche Mode; Björk; Nine Inch Nails; Portishead; Boards of Canada; Aphex Twin; Ladytron
post-rock,633,241,Radiohead; Pink Floyd; Sigur Rós; blink-182; Arcade Fire; Interpol; Porcupine Tree; Yann Tiersen
electro,631,403,Britney Spears; Radiohead; Ke$ha; Black Eyed Peas; Kylie Minogue; Miley Cyrus; Depeche Mode; Nirvana
awesome,625,453,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
love,620,391,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
mellow,595,456,Rihanna; The Beatles; Madonna; Avril Lavigne; Christina Aguilera; Muse; Radiohead; Coldplay
cover,583,459,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
death metal,582,216,Slayer; Opeth; In Flames; Modest Mouse; Children of Bodom; Killswitch Engage; Sepultura; Underoath
female vocalist,579,361,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
post-hardcore,567,187,30 Seconds to Mars; My Chemical Romance; Bullet for My Valentine; A Day to Remember; The Used; Escape The Fate; The Mars Volta; Atreyu
brazilian,565,283,Katy Perry; Avril Lavigne; Glee Cast; Eminem; Justin Bieber; Elvis Presley; Los Hermanos; Pitty
amazing,539,382,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
pop punk,531,167,The Beatles; Avril Lavigne; Paramore; Ke$ha; P!nk; Kelly Clarkson; Green Day; The Cure
country,514,211,Britney Spears; Katy Perry; Beyoncé; Miley Cyrus; Kelly Clarkson; Taylor Swift; Evanescence; Jennifer Lopez
ebm,511,187,Nine Inch Nails; Ladytron; De/Vision; And One; Combichrist; Apoptygma Berzerk; VNV Nation; Clan of Xymox
progressive metal,506,216,Metallica; Iron Maiden; The Smashing Pumpkins; Nightwish; Tool; Dream Theater; Deep Purple; Porcupine Tree
emo,505,221,Avril Lavigne; Paramore; Placebo; Green Day; Evanescence; 30 Seconds to Mars; My Chemical Romance; Adam Lambert
hip hop,504,254,Rihanna; Avril Lavigne; Christina Aguilera; Beyoncé; Ke$ha; Shakira; Black Eyed Peas; Mariah Carey
piano,478,307,Lady Gaga; The Beatles; Madonna; Avril Lavigne; Christina Aguilera; Muse; Radiohead; Coldplay
screamo,468,173,Paramore; My Chemical Romance; Marilyn Manson; Avenged Sevenfold; Bullet for My Valentine; A Day to Remember; The Used; Bring Me The Horizon
trance,464,225,Madonna; Kylie Minogue; Depeche Mode; David Guetta; Sigur Rós; Massive Attack; Moby; Cascada
funk,459,209,Madonna; Beyoncé; Black Eyed Peas; Michael Jackson; Glee Cast; Red Hot Chili Peppers; Queen; David Bowie
classical,454,188,Björk; Sigur Rós; OneRepublic; Céline Dion; Yann Tiersen; The Velvet Underground; Tori Amos; The Police
nu metal,452,110,Linkin Park; Evanescence; System of a Down; Rammstein; Marilyn Manson; Nickelback; Slipknot; Korn
favorites,448,369,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
melodic death metal,433,121,Linkin Park; Opeth; In Flames; Children of Bodom; Killswitch Engage; As I Lay Dying; Arch Enemy; Death
gothic,412,190,Depeche Mode; Green Day; The Cure; Evanescence; Joy Division; Marilyn Manson; New Order; Nightwish
grunge,408,111,The Beatles; Madonna; Radiohead; Nirvana; U2; Foo Fighters; The Smiths; Joy Division
house,404,261,Madonna; Christina Aguilera; Kylie Minogue; Depeche Mode; Michael Jackson; Mariah Carey; The Pussycat Dolls; Florence + the Machine
german,394,231,Kings of Leon; Rammstein; Cascada; Scorpions; Blind Guardian; Kraftwerk; Tokio Hotel; Kreator
female,392,265,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
canadian,388,185,Avril Lavigne; P!nk; Nelly Furtado; Alanis Morissette; Arcade Fire; Nickelback; Crystal Castles; Justin Bieber
power metal,388,127,Metallica; Iron Maiden; Rammstein; Megadeth; Nightwish; Within Temptation; Judas Priest; Slayer
techno,382,226,Lady Gaga; Madonna; Christina Aguilera; Black Eyed Peas; Kylie Minogue; Depeche Mode; David Guetta; Daft Punk
ballad,381,274,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
uk,377,259,The Beatles; Muse; Radiohead; Coldplay; Depeche Mode; Pink Floyd; Arctic Monkeys; Lily Allen
<3,355,238,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
love at first listen,349,245,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
cool,346,300,Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Christina Aguilera; Muse; Paramore
french,341,160,David Guetta; Daft Punk; OneRepublic; Céline Dion; Air; Yann Tiersen; Phoenix; Feist
catchy,335,251,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Avril Lavigne; Christina Aguilera; Beyoncé
deathcore,334,112,Bring Me The Horizon; Underoath; The Devil Wears Prada; Parkway Drive; August Burns Red; Suicide Silence; Cannibal Corpse; Rob Zombie
japanese,331,188,BoA; 宇多田ヒカル; 浜崎あゆみ; Akira Yamaoka; 倖田來未; 安室奈美恵; 植松伸夫; YUI
synth pop,327,158,Lady Gaga; Madonna; Depeche Mode; MGMT; Duran Duran; New Order; a-ha; Pet Shop Boys
sad,315,259,Lady Gaga; Britney Spears; Rihanna; The Beatles; Madonna; Avril Lavigne; Christina Aguilera; Muse
latin,313,171,Britney Spears; Rihanna; Christina Aguilera; Beyoncé; Shakira; Kylie Minogue; Kelly Clarkson; Mariah Carey
usa,312,262,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Christina Aguilera; Paramore; Beyoncé
shoegaze,308,170,Björk; Sigur Rós; Joy Division; The Smashing Pumpkins; Boards of Canada; Fresno; Sonic Youth; Ladytron
brasil,306,184,Los Hermanos; Pitty; Cansei de Ser Sexy; Colbie Caillat; Anahí; Fresno; Legião Urbana; NX Zero
reggae,306,140,Rihanna; Led Zeppelin; The Police; Eric Clapton; Bob Marley; Blondie; NOFX; Sublime
black metal,301,126,Justin Bieber; Children of Bodom; Underoath; Death; Ulver; Cradle of Filth; Dimmu Borgir; Sodom
epic,300,242,Lady Gaga; Britney Spears; The Beatles; Madonna; Christina Aguilera; Muse; Paramore; Radiohead
gothic metal,300,104,Evanescence; Marilyn Manson; Nightwish; Within Temptation; HIM; Lacuna Coil; Katatonia; Epica
electropop,296,141,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Ke$ha
world,291,229,Shakira; Oasis; Björk; Yann Tiersen; Anahí; Bob Marley; Sting; Ricky Martin
favorite,289,274,Lady Gaga; Britney Spears; Madonna; Christina Aguilera; Muse; Paramore; Radiohead; The Killers
blues rock,288,130,Led Zeppelin; AC/DC; The Doors; The Rolling Stones; Bob Dylan; The White Stripes; Elvis Presley; Aerosmith
mpb,278,121,Los Hermanos; Colbie Caillat; Ana Carolina; Chico Buarque; Marisa Monte; Cássia Eller; Skank; Ivete Sangalo
minimal,272,150,Sigur Rós; The xx; Boards of Canada; Aphex Twin; Apparat; Autechre; Burial; The Presets
oldies,258,158,The Beatles; Coldplay; Michael Jackson; Queen; David Bowie; Led Zeppelin; The Doors; The Rolling Stones
lounge,256,174,Maroon 5; Portishead; Moby; Air; Röyksopp; Boards of Canada; Kings of Convenience; Bonobo
progressive,256,189,Muse; Pink Floyd; Björk; Guns N' Roses; Sigur Rós; MGMT; Queens of the Stone Age; Tool
covers,255,225,Lady Gaga; Britney Spears; The Beatles; Katy Perry; Avril Lavigne; Muse; Paramore; Michael Jackson
darkwave,244,109,Depeche Mode; The Cure; Joy Division; Queens of the Stone Age; Dave Gahan; She Wants Revenge; Martin L. Gore; Gary Numan
disco,242,130,Lady Gaga; Britney Spears; Rihanna; Madonna; Shakira; The Killers; Kylie Minogue; Depeche Mode
classic,239,193,Britney Spears; The Beatles; Madonna; Christina Aguilera; Shakira; Kylie Minogue; Depeche Mode; Michael Jackson
new age,239,108,Depeche Mode; Sigur Rós; Yann Tiersen; Dido; Enya; Enigma; Dead Can Dance; Sarah Brightman
symphonic metal,239,88,Metallica; Iron Maiden; Megadeth; Nightwish; Within Temptation; Judas Priest; Dream Theater; Opeth
avant-garde,238,176,Depeche Mode; Pink Floyd; Queen; David Bowie; Björk; Sigur Rós; Yeah Yeah Yeahs; Massive Attack
guitar,237,170,Madonna; Pink Floyd; Led Zeppelin; AC/DC; Guns N' Roses; Florence + the Machine; Snow Patrol; John Mayer
dream pop,228,166,Avril Lavigne; Michael Jackson; Florence + the Machine; Sigur Rós; Alicia Keys; Ashlee Simpson; Massive Attack; t.A.T.u.
atmospheric,227,191,The Beatles; Muse; Radiohead; Coldplay; Depeche Mode; Linkin Park; Pink Floyd; Placebo
lo-fi,224,173,Death Cab for Cutie; Arcade Fire; Portishead; The White Stripes; Beirut; Boards of Canada; Modest Mouse; Bat for Lashes
noise,218,165,Nirvana; Björk; Nine Inch Nails; Queens of the Stone Age; Yann Tiersen; The Velvet Underground; Aphex Twin; Sonic Youth
psychedelic rock,218,93,The Beatles; Pink Floyd; Arctic Monkeys; Evanescence; David Bowie; Led Zeppelin; MGMT; Rammstein
fun,217,170,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
happy,213,184,Lady Gaga; The Beatles; Katy Perry; Avril Lavigne; Muse; Paramore; Coldplay; The Killers
alternative metal,212,101,Linkin Park; Evanescence; Metallica; 30 Seconds to Mars; System of a Down; Foo Fighters; Rammstein; Marilyn Manson
j-pop,212,115,BoA; 宇多田ヒカル; 浜崎あゆみ; 倖田來未; 安室奈美恵; 4minute; YUI; Perfume
swedish,211,121,Robyn; ABBA; In Flames; Roxette; The Knife; Lykke Li; Arch Enemy; Katatonia
christian,210,129,Paramore; The Fray; A Day to Remember; RBD; Lifehouse; Sufjan Stevens; nevershoutnever!; Aly & AJ
industrial metal,210,82,Rammstein; Nine Inch Nails; Marilyn Manson; Emilie Autumn; Fear Factory; Oomph!; Static-X; Deathstars
chill,209,197,The Beatles; Muse; Radiohead; Coldplay; Linkin Park; Lily Allen; Placebo; Mariah Carey
soft rock,209,159,The Beatles; Avril Lavigne; Radiohead; Coldplay; The Killers; Kelly Clarkson; Arctic Monkeys; Green Day
remix,202,182,Britney Spears; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Beyoncé; Ke$ha; The Killers
romantic,200,167,The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore; Coldplay; Shakira
favorite songs,197,189,Lady Gaga; Paramore; Radiohead; Coldplay; Depeche Mode; Pink Floyd; The Cure; Oasis
english,195,181,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
ska,193,96,Lily Allen; Led Zeppelin; Gwen Stefani; Los Hermanos; The Clash; Weezer; No Doubt; Bob Marley
rock n roll,192,139,The Beatles; Pink Floyd; Green Day; Red Hot Chili Peppers; Oasis; David Bowie; Led Zeppelin; The Strokes
spanish,190,122,Rihanna; Madonna; Christina Aguilera; Beyoncé; Shakira; Michael Jackson; Jennifer Lopez; Enrique Iglesias
rock and roll,188,117,The Beatles; Kings of Leon; Queen; Led Zeppelin; U2; The Strokes; AC/DC; Foo Fighters
urban,184,148,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Christina Aguilera; Beyoncé; Ke$ha
grindcore,174,94,Suicide Silence; Cannibal Corpse; Napalm Death; Rob Zombie; Despised Icon; Whitechapel; All Shall Perish; Carcass
j-rock,174,73,倖田來未; YUI; L'Arc~en~Ciel; DIR EN GREY; the GazettE; GACKT; ASIAN KUNG-FU GENERATION; Maximum the Hormone
russian,174,134,Michael Jackson; t.A.T.u.; [unknown]; Zемфира; Noize MC; Сплин; Дельфин; Агата Кристи
legend,171,67,Lady Gaga; Britney Spears; Madonna; Avril Lavigne; Christina Aguilera; Paramore; Beyoncé; Shakira
sweet,170,153,Britney Spears; The Beatles; Christina Aguilera; Paramore; Beyoncé; Coldplay; Arctic Monkeys; Taylor Swift
dark electro,168,79,Combichrist; Skinny Puppy; :wumpscut:; mind.in.a.box; Hocico; Grendel; Suicide Commando; Unter Null
dreamy,168,149,The Beatles; Muse; Radiohead; Coldplay; Pink Floyd; David Bowie; Amy Winehouse; Björk
garage rock,168,97,Avril Lavigne; Arctic Monkeys; Green Day; Kings of Leon; The Strokes; blink-182; Yeah Yeah Yeahs; The Pretty Reckless
polish,168,102,Riverside; Frédéric Chopin; Behemoth; happysad; O.S.T.R.; Rob Zombie; Myslovitz; Coma
christian rock,167,77,The Fray; Flyleaf; Lifehouse; Skillet; Daughtry; Anberlin; Switchfoot; P.O.D.
futurepop,167,71,Michael Jackson; Nine Inch Nails; Ashlee Simpson; t.A.T.u.; De/Vision; And One; Apoptygma Berzerk; Mylène Farmer
gothic rock,166,89,The Cure; Evanescence; The Smiths; Joy Division; Marilyn Manson; Nightwish; Within Temptation; HIM
doom metal,164,78,Black Sabbath; Within Temptation; Opeth; Anathema; Katatonia; Death; Paradise Lost; Amorphis
hair metal,163,74,Iron Maiden; Guns N' Roses; Judas Priest; Bon Jovi; KISS; Scorpions; Pantera; Van Halen
melancholic,151,120,Rihanna; Muse; Paramore; Radiohead; Coldplay; P!nk; The Killers; Depeche Mode
disney,149,58,Britney Spears; Christina Aguilera; Miley Cyrus; Ashley Tisdale; Hilary Duff; Selena Gomez & the Scene; Justin Timberlake; Demi Lovato
glam rock,149,58,Placebo; Queen; David Bowie; Guns N' Roses; Adam Lambert; Marilyn Manson; Aerosmith; Bon Jovi
hot,149,110,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
powerpop,149,67,Lady Gaga; Avril Lavigne; Christina Aguilera; Paramore; Ke$ha; Kelly Clarkson; Ashley Tisdale; 3OH!3
relax,146,132,Rihanna; The Beatles; Madonna; Christina Aguilera; Muse; Coldplay; The Killers; Depeche Mode
party,145,115,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Christina Aguilera; Beyoncé; Ke$ha
relaxing,144,133,Rihanna; The Beatles; Radiohead; Coldplay; Depeche Mode; Mariah Carey; Evanescence; Amy Winehouse
dark ambient,143,106,Nine Inch Nails; Akira Yamaoka; Ulver; Dead Can Dance; Amon Tobin; Burzum; Coil; Delerium
perfect,143,120,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Christina Aguilera; Muse
brazil,142,115,Los Hermanos; Cansei de Ser Sexy; Fresno; Legião Urbana; Ana Carolina; Chico Buarque; Wanessa; Marisa Monte
italian,142,105,Laura Pausini; 安室奈美恵; Sarah Brightman; Manowar; Josh Groban; Ennio Morricone; Carla Bruni; Tiziano Ferro
new romantic,142,59,Depeche Mode; Franz Ferdinand; Duran Duran; a-ha; Cyndi Lauper; Tears for Fears; Kraftwerk; The Human League
emocore,138,70,30 Seconds to Mars; My Chemical Romance; Avenged Sevenfold; Bullet for My Valentine; A Day to Remember; The Used; Escape The Fate; Fresno
icelandic,138,42,Placebo; Björk; Sigur Rós; Portishead; múm; Ólafur Arnalds; Jónsi; Amiina
2008,137,126,Lady Gaga; Britney Spears; Katy Perry; Madonna; Christina Aguilera; Paramore; Beyoncé; Coldplay
love songs,134,122,Rihanna; Avril Lavigne; Shakira; Michael Jackson; Queen; Maroon 5; Death Cab for Cutie; Alanis Morissette
mathcore,134,53,The Dillinger Escape Plan; Converge; Protest The Hero; Meshuggah; The Fall of Troy; Between the Buried and Me; Architects; Misery Signals
love it,133,123,Lady Gaga; Britney Spears; Rihanna; Madonna; Christina Aguilera; Muse; Paramore; Beyoncé
ethereal,132,89,Muse; Evanescence; Björk; Sigur Rós; Arcade Fire; Duran Duran; Crystal Castles; Portishead
fucking awesome,132,125,Lady Gaga; Rihanna; The Beatles; Avril Lavigne; Muse; Coldplay; The Killers; Depeche Mode
guilty pleasures,132,118,Lady Gaga; Britney Spears; Madonna; Avril Lavigne; Christina Aguilera; Shakira; Kylie Minogue; Depeche Mode
50s,131,84,Elvis Presley; Johnny Cash; Frank Sinatra; Chuck Berry; Joe Satriani; Howlin' Wolf; Buddy Holly; Ray Charles
southern rock,130,50,Kings of Leon; Creedence Clearwater Revival; Lynyrd Skynyrd; Black Label Society; Eagles; ZZ Top; Tom Petty and the Heartbreakers; Brooks & Dunn
electroclash,129,78,Kylie Minogue; Depeche Mode; Daft Punk; Crystal Castles; Goldfrapp; Cansei de Ser Sexy; Little Boots; IAMX
speed metal,128,59,Metallica; Queen; Megadeth; Judas Priest; Bloc Party; Slayer; Dream Theater; Motörhead
australian,127,70,Kylie Minogue; AC/DC; The Veronicas; Sia; INXS; Cut Copy; Silverchair; Empire of the Sun
dub,126,98,Madonna; The Killers; Kylie Minogue; Depeche Mode; David Bowie; U2; Duran Duran; New Order
easy listening,126,112,Ashlee Simpson; Adele; Lindsay Lohan; t.A.T.u.; Timbaland; Céline Dion; John Mayer; Röyksopp
bossa nova,125,56,Foo Fighters; Los Hermanos; Chico Buarque; Marisa Monte; Nouvelle Vague; Adriana Calcanhotto; Os Mutantes; Caetano Veloso
favourites,125,114,Britney Spears; Avril Lavigne; Muse; Radiohead; Coldplay; Shakira; The Killers; Depeche Mode
christmas,124,101,Britney Spears; Christina Aguilera; The Killers; Mariah Carey; Queen; Keane; Elvis Presley; Pet Shop Boys
cute,124,112,Britney Spears; The Beatles; Katy Perry; Avril Lavigne; Paramore; Coldplay; Shakira; Miley Cyrus
guilty pleasure,124,92,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Ke$ha
diva,123,60,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Beyoncé
brutal death metal,122,86,Rihanna; Miley Cyrus; ABBA; Opeth; Paris Hilton; Arch Enemy; Death; Mastodon
psytrance,122,63,Infected Mushroom; Shpongle; Juno Reactor; Vibrasphere; Astrix; Talamasca; Younger Brother; Ott
male vocalist,121,114,Michael Jackson; Nirvana; Placebo; Green Day; The Smiths; Guns N' Roses; Rammstein; Justin Timberlake
2010,120,102,Lady Gaga; Rihanna; Katy Perry; Avril Lavigne; Christina Aguilera; Ke$ha; Kylie Minogue; Miley Cyrus
finnish,120,59,Nightwish; Within Temptation; HIM; Apocalyptica; Children of Bodom; The Rasmus; Sonata Arctica; Tarja
female fronted metal,118,59,Evanescence; Nightwish; Within Temptation; Dream Theater; Lacuna Coil; Arch Enemy; Epica; Tarja
gossip girl,118,90,Lady Gaga; Britney Spears; Rihanna; Paramore; Depeche Mode; Amy Winehouse; Hilary Duff; Florence + the Machine
melancholy,116,110,Avril Lavigne; Muse; Radiohead; P!nk; Pink Floyd; The Cure; Evanescence; Metallica
progressive trance,115,65,Tiësto; ATB; Armin van Buuren; Everything but the Girl; Paul van Dyk; Paul Oakenfold; Blank & Jones; Ferry Corsten
power pop,112,90,Madonna; Avril Lavigne; Christina Aguilera; Paramore; Kylie Minogue; Green Day; Evanescence; Björk
indietronica,111,88,Björk; MGMT; Arcade Fire; Crystal Castles; Owl City; La Roux; Cansei de Ser Sexy; The Ting Tings
summer,111,103,Lady Gaga; Katy Perry; Muse; Ke$ha; U2; Panic! At the Disco; Arcade Fire; Enrique Iglesias
brilliant,109,100,The Beatles; Christina Aguilera; Muse; Radiohead; Coldplay; The Killers; Depeche Mode; Pink Floyd
gay,109,95,Lady Gaga; Britney Spears; Christina Aguilera; Beyoncé; Kylie Minogue; Placebo; Adam Lambert; Lindsay Lohan
post rock,109,78,Sigur Rós; Portishead; Explosions in the Sky; God Is an Astronaut; Anathema; Mogwai; 65daysofstatic; The Album Leaf
dark,106,93,Lady Gaga; Madonna; Radiohead; Kylie Minogue; Depeche Mode; Pink Floyd; Placebo; The Cure
post-grunge,106,66,Radiohead; Linkin Park; Placebo; 30 Seconds to Mars; Foo Fighters; The Smashing Pumpkins; Pearl Jam; The Pretty Reckless
top 40,106,94,Britney Spears; The Beatles; Katy Perry; Madonna; Christina Aguilera; P!nk; Black Eyed Peas; Linkin Park
best song ever,104,101,Britney Spears; Madonna; Beyoncé; Radiohead; Depeche Mode; David Guetta; Crystal Castles; New Order
