movieId,title,title_without_year,release_year,genres,average_rating,rating_count,tag_count,top_tags,vibe_summary,movielens_url
36,Dead Man Walking (1995),Dead Man Walking,1995,Crime; Drama,3.84,67,2,death penalty; nun,character-driven; tense,https://movielens.org/movies/36
38,It Takes Two (1995),It Takes Two,1995,Children; Comedy,2.13,4,1,twins,funny; family-friendly,https://movielens.org/movies/38
39,Clueless (1995),Clueless,1995,Comedy; Romance,3.29,104,7,chick flick; emma; funny; jane austen; paul rudd; quotable; seen more than once,funny; romantic,https://movielens.org/movies/39
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,Drama,4.25,2,2,in netflix queue; south africa,character-driven,https://movielens.org/movies/40
41,Richard III (1995),Richard III,1995,Drama; War,3.70,15,1,shakespeare,character-driven,https://movielens.org/movies/41
42,Dead Presidents (1995),Dead Presidents,1995,Action; Crime; Drama,3.00,7,0,,character-driven; tense,https://movielens.org/movies/42
43,Restoration (1995),Restoration,1995,Drama,3.19,8,1,england,character-driven,https://movielens.org/movies/43
44,Mortal Kombat (1995),Mortal Kombat,1995,Action; Adventure; Fantasy,2.54,46,0,,fantastical,https://movielens.org/movies/44
45,To Die For (1995),To Die For,1995,Comedy; Drama; Thriller,3.31,32,1,journalism,funny; character-driven; tense,https://movielens.org/movies/45
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,Drama; Romance,3.07,15,1,wedding,character-driven; romantic,https://movielens.org/movies/46
47,Seven (a.k.a. Se7en) (1995),Seven (a.k.a. Se7en),1995,Mystery; Thriller,3.98,203,3,mystery; serial killer; twist ending,tense; mind-bending,https://movielens.org/movies/47
48,Pocahontas (1995),Pocahontas,1995,Animation; Children; Drama; Musical; Romance,3.15,68,0,,character-driven; romantic; family-friendly,https://movielens.org/movies/48
49,When Night Is Falling (1995),When Night Is Falling,1995,Drama; Romance,3.00,1,0,,character-driven; romantic,https://movielens.org/movies/49
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995,Crime; Mystery; Thriller,4.24,204,6,heist; mindfuck; suspense; thriller; tricky; twist ending,tense; mind-bending,https://movielens.org/movies/50
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995,Comedy; Drama; Romance,3.46,28,2,adoption; prostitution,funny; character-driven; romantic,https://movielens.org/movies/52
53,Lamerica (1994),Lamerica,1994,Adventure; Drama,5.00,2,0,,character-driven,https://movielens.org/movies/53
54,"Big Green, The (1995)","Big Green, The",1995,Children; Comedy,2.33,3,0,,funny; family-friendly,https://movielens.org/movies/54
55,Georgia (1995),Georgia,1995,Drama,4.00,1,0,,character-driven,https://movielens.org/movies/55
57,Home for the Holidays (1995),Home for the Holidays,1995,Drama,3.06,8,0,,character-driven,https://movielens.org/movies/57
58,"Postman, The (Postino, Il) (1994)","Postman, The (Postino, Il)",1994,Comedy; Drama; Romance,4.03,37,1,writing,funny; character-driven; romantic,https://movielens.org/movies/58
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995,Adventure; Children; Fantasy,3.24,34,0,,family-friendly; fantastical,https://movielens.org/movies/60
61,Eye for an Eye (1996),Eye for an Eye,1996,Drama; Thriller,3.75,6,0,,character-driven; tense,https://movielens.org/movies/61
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,Drama,3.71,80,1,music,character-driven,https://movielens.org/movies/62
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy; Crime,2.71,7,0,,funny; tense,https://movielens.org/movies/63
64,Two if by Sea (1996),Two if by Sea,1996,Comedy; Romance,2.20,5,0,,funny; romantic,https://movielens.org/movies/64
65,Bio-Dome (1996),Bio-Dome,1996,Comedy,2.53,31,0,,funny,https://movielens.org/movies/65
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996,Action; Sci-Fi; Thriller,2.50,9,0,,tense; imaginative,https://movielens.org/movies/66
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,Comedy; Romance,3.40,5,0,,funny; romantic,https://movielens.org/movies/68
69,Friday (1995),Friday,1995,Comedy,3.77,20,0,,funny,https://movielens.org/movies/69
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,Action; Comedy; Horror; Thriller,3.51,55,0,,funny; tense; dark,https://movielens.org/movies/70
71,Fair Game (1995),Fair Game,1995,Action,1.70,5,0,,general audience,https://movielens.org/movies/71
72,Kicking and Screaming (1995),Kicking and Screaming,1995,Comedy; Drama,3.21,7,0,,funny; character-driven,https://movielens.org/movies/72
73,"Misérables, Les (1995)","Misérables, Les",1995,Drama; War,3.46,13,0,,character-driven,https://movielens.org/movies/73
74,Bed of Roses (1996),Bed of Roses,1996,Drama; Romance,4.00,8,0,,character-driven; romantic,https://movielens.org/movies/74
75,Big Bully (1996),Big Bully,1996,Comedy; Drama,2.20,5,0,,funny; character-driven,https://movielens.org/movies/75
76,Screamers (1995),Screamers,1995,Action; Sci-Fi; Thriller,3.40,15,0,,tense; imaginative,https://movielens.org/movies/76
77,Nico Icon (1995),Nico Icon,1995,Documentary,4.00,1,0,,real-world,https://movielens.org/movies/77
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995,Action; Crime; Drama; Thriller,3.33,3,0,,character-driven; tense,https://movielens.org/movies/78
79,"Juror, The (1996)","Juror, The",1996,Drama; Thriller,2.76,17,0,,character-driven; tense,https://movielens.org/movies/79
80,"White Balloon, The (Badkonake sefid) (1995)","White Balloon, The (Badkonake sefid)",1995,Children; Drama,4.00,2,0,,character-driven; family-friendly,https://movielens.org/movies/80
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,1995,Crime; Drama; Romance,3.11,14,0,,character-driven; tense; romantic,https://movielens.org/movies/81
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995,Comedy; Drama,3.88,8,0,,funny; character-driven,https://movielens.org/movies/82
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995,Drama; Romance,3.00,1,0,,character-driven; romantic,https://movielens.org/movies/83
85,Angels and Insects (1995),Angels and Insects,1995,Drama; Romance,3.86,7,0,,character-driven; romantic,https://movielens.org/movies/85
86,White Squall (1996),White Squall,1996,Action; Adventure; Drama,3.97,15,0,,character-driven,https://movielens.org/movies/86
87,Dunston Checks In (1996),Dunston Checks In,1996,Children; Comedy,2.50,7,0,,funny; family-friendly,https://movielens.org/movies/87
88,Black Sheep (1996),Black Sheep,1996,Comedy,3.16,16,0,,funny,https://movielens.org/movies/88
89,Nick of Time (1995),Nick of Time,1995,Action; Thriller,3.25,10,0,,tense,https://movielens.org/movies/89
92,Mary Reilly (1996),Mary Reilly,1996,Drama; Horror; Thriller,2.63,8,1,jekyll and hyde,character-driven; tense; dark,https://movielens.org/movies/92
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995,Comedy; Horror; Romance,2.83,9,0,,funny; romantic; dark,https://movielens.org/movies/93
94,Beautiful Girls (1996),Beautiful Girls,1996,Comedy; Drama; Romance,3.95,10,0,,funny; character-driven; romantic,https://movielens.org/movies/94
95,Broken Arrow (1996),Broken Arrow,1996,Action; Adventure; Thriller,3.02,84,0,,tense,https://movielens.org/movies/95
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995,Comedy; Drama,3.50,1,1,theater,funny; character-driven,https://movielens.org/movies/96
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995,Crime; Drama,3.90,10,0,,character-driven; tense,https://movielens.org/movies/97
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995,Documentary,5.00,2,0,,real-world,https://movielens.org/movies/99
100,City Hall (1996),City Hall,1996,Drama; Thriller,2.79,14,0,,character-driven; tense,https://movielens.org/movies/100
101,Bottle Rocket (1996),Bottle Rocket,1996,Adventure; Comedy; Crime; Romance,3.78,23,3,crime; off-beat comedy; quirky,funny; tense; romantic; quirky,https://movielens.org/movies/101
102,Mr. Wrong (1996),Mr. Wrong,1996,Comedy,2.40,5,0,,funny,https://movielens.org/movies/102
103,Unforgettable (1996),Unforgettable,1996,Mystery; Sci-Fi; Thriller,3.00,3,0,,tense; imaginative,https://movielens.org/movies/103
104,Happy Gilmore (1996),Happy Gilmore,1996,Comedy,3.44,99,3,adam sandler; golf; test tag,funny,https://movielens.org/movies/104
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995,Drama; Romance,3.28,23,0,,character-driven; romantic,https://movielens.org/movies/105
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994,Comedy; Drama,4.00,1,0,,funny; character-driven,https://movielens.org/movies/106
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996,Adventure; Children; Comedy; Musical,3.33,26,1,muppets,funny; family-friendly,https://movielens.org/movies/107
108,Catwalk (1996),Catwalk,1996,Documentary,4.00,1,0,,real-world,https://movielens.org/movies/108
110,Braveheart (1995),Braveheart,1995,Action; Drama; War,4.03,237,10,beautiful scenery; epic; historical; inspirational; medieval; mel gibson; oscar (best cinematography); revenge,character-driven; well-regarded,https://movielens.org/movies/110
111,Taxi Driver (1976),Taxi Driver,1976,Crime; Drama; Thriller,4.11,104,1,assassination,character-driven; tense,https://movielens.org/movies/111
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx (Hont faan kui),1995,Action; Adventure; Comedy; Crime,3.54,46,0,,funny; tense,https://movielens.org/movies/112
113,Before and After (1996),Before and After,1996,Drama; Mystery,3.33,3,0,,character-driven,https://movielens.org/movies/113
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995,Documentary,3.90,5,1,holocaust,real-world,https://movielens.org/movies/116
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995,Crime; Drama,3.00,1,0,,character-driven; tense,https://movielens.org/movies/117
118,If Lucy Fell (1996),If Lucy Fell,1996,Comedy; Romance,2.50,2,0,,funny; romantic,https://movielens.org/movies/118
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995,Comedy,3.00,2,0,,funny,https://movielens.org/movies/119
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The",1992,Drama,4.00,2,0,,character-driven,https://movielens.org/movies/121
122,Boomerang (1992),Boomerang,1992,Comedy; Romance,2.66,16,1,dating,funny; romantic,https://movielens.org/movies/122
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express (Chung Hing sam lam),1994,Drama; Mystery; Romance,4.38,4,0,,character-driven; romantic,https://movielens.org/movies/123
125,Flirting With Disaster (1996),Flirting With Disaster,1996,Comedy,3.58,12,0,,funny,https://movielens.org/movies/125
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994,Adventure; Children; Fantasy,2.00,7,0,,family-friendly; fantastical,https://movielens.org/movies/126
128,Jupiter's Wife (1994),Jupiter's Wife,1994,Documentary,3.00,1,0,,real-world,https://movielens.org/movies/128
129,Pie in the Sky (1996),Pie in the Sky,1996,Comedy; Romance,2.00,1,0,,funny; romantic,https://movielens.org/movies/129
132,Jade (1995),Jade,1995,Thriller,2.83,6,0,,tense,https://movielens.org/movies/132
135,Down Periscope (1996),Down Periscope,1996,Comedy,2.95,31,0,,funny,https://movielens.org/movies/135
137,Man of the Year (1995),Man of the Year,1995,Documentary,3.00,1,0,,real-world,https://movielens.org/movies/137
140,Up Close and Personal (1996),Up Close and Personal,1996,Drama; Romance,3.50,16,1,journalism,character-driven; romantic,https://movielens.org/movies/140
141,"Birdcage, The (1996)","Birdcage, The",1996,Comedy,3.49,86,0,,funny,https://movielens.org/movies/141
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995,Comedy,3.33,12,0,,funny,https://movielens.org/movies/144
145,Bad Boys (1995),Bad Boys,1995,Action; Comedy; Crime; Drama; Thriller,3.25,51,0,,funny; character-driven; tense,https://movielens.org/movies/145
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",1995,Adventure; Children,3.33,3,0,,family-friendly,https://movielens.org/movies/146
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",1995,Drama,3.47,15,4,addiction; heroin; leonardo dicaprio; mark wahlberg,character-driven,https://movielens.org/movies/147
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",1995,Drama,5.00,1,0,,character-driven,https://movielens.org/movies/148
149,Amateur (1994),Amateur,1994,Crime; Drama; Thriller,2.00,1,0,,character-driven; tense,https://movielens.org/movies/149
150,Apollo 13 (1995),Apollo 13,1995,Adventure; Drama; IMAX,3.85,201,3,moon; nasa; space,character-driven; imaginative,https://movielens.org/movies/150
151,Rob Roy (1995),Rob Roy,1995,Action; Drama; Romance; War,3.55,44,0,,character-driven; romantic,https://movielens.org/movies/151
152,"Addiction, The (1995)","Addiction, The",1995,Drama; Horror,1.50,2,0,,character-driven; dark,https://movielens.org/movies/152
153,Batman Forever (1995),Batman Forever,1995,Action; Adventure; Comedy; Crime,2.92,137,2,superhero,funny; tense,https://movielens.org/movies/153
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour),1967,Drama,3.88,12,0,,character-driven,https://movielens.org/movies/154
155,Beyond Rangoon (1995),Beyond Rangoon,1995,Adventure; Drama; War,2.42,6,0,,character-driven,https://movielens.org/movies/155
156,Blue in the Face (1995),Blue in the Face,1995,Comedy; Drama,3.33,3,0,,funny; character-driven,https://movielens.org/movies/156
157,Canadian Bacon (1995),Canadian Bacon,1995,Comedy; War,2.86,11,0,,funny,https://movielens.org/movies/157
158,Casper (1995),Casper,1995,Adventure; Children,2.81,62,0,,family-friendly,https://movielens.org/movies/158
159,Clockers (1995),Clockers,1995,Crime; Drama; Mystery,2.89,14,0,,character-driven; tense,https://movielens.org/movies/159
160,Congo (1995),Congo,1995,Action; Adventure; Mystery; Sci-Fi,2.88,57,1,michael crichton,imaginative,https://movielens.org/movies/160
161,Crimson Tide (1995),Crimson Tide,1995,Drama; Thriller; War,3.64,103,1,submarine,character-driven; tense,https://movielens.org/movies/161
162,Crumb (1994),Crumb,1994,Documentary,4.21,17,1,in netflix queue,real-world,https://movielens.org/movies/162
163,Desperado (1995),Desperado,1995,Action; Romance; Western,3.56,66,0,,romantic,https://movielens.org/movies/163
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,1995,Crime; Film-Noir; Mystery; Thriller,3.32,14,0,,tense,https://movielens.org/movies/164
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995,Action; Crime; Thriller,3.56,144,0,,tense,https://movielens.org/movies/165
166,"Doom Generation, The (1995)","Doom Generation, The",1995,Comedy; Crime; Drama,2.83,3,0,,funny; character-driven; tense,https://movielens.org/movies/166
168,First Knight (1995),First Knight,1995,Action; Drama; Romance,3.08,54,0,,character-driven; romantic,https://movielens.org/movies/168
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,Adventure; Children; Drama,2.40,10,0,,character-driven; family-friendly,https://movielens.org/movies/169
170,Hackers (1995),Hackers,1995,Action; Adventure; Crime; Thriller,3.23,35,0,,tense,https://movielens.org/movies/170
171,Jeffrey (1995),Jeffrey,1995,Comedy; Drama,3.83,6,0,,funny; character-driven,https://movielens.org/movies/171
172,Johnny Mnemonic (1995),Johnny Mnemonic,1995,Action; Sci-Fi; Thriller,2.68,53,0,,tense; imaginative,https://movielens.org/movies/172
173,Judge Dredd (1995),Judge Dredd,1995,Action; Crime; Sci-Fi,2.67,62,0,,tense; imaginative,https://movielens.org/movies/173
174,Jury Duty (1995),Jury Duty,1995,Comedy,2.70,10,0,,funny,https://movielens.org/movies/174
175,Kids (1995),Kids,1995,Drama,3.98,20,3,controversial; new york city; nudity (full frontal),character-driven,https://movielens.org/movies/175
176,Living in Oblivion (1995),Living in Oblivion,1995,Comedy,4.31,13,0,,funny,https://movielens.org/movies/176
177,Lord of Illusions (1995),Lord of Illusions,1995,Horror,2.75,8,0,,dark,https://movielens.org/movies/177
178,Love & Human Remains (1993),Love & Human Remains,1993,Comedy; Drama,1.00,1,0,,funny; character-driven,https://movielens.org/movies/178
179,Mad Love (1995),Mad Love,1995,Drama; Romance,1.50,2,0,,character-driven; romantic,https://movielens.org/movies/179
180,Mallrats (1995),Mallrats,1995,Comedy; Romance,3.40,36,0,,funny; romantic,https://movielens.org/movies/180
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995,Action; Children,2.26,17,0,,family-friendly,https://movielens.org/movies/181
183,Mute Witness (1994),Mute Witness,1994,Comedy; Horror; Thriller,3.50,2,0,,funny; tense; dark,https://movielens.org/movies/183
184,Nadja (1994),Nadja,1994,Drama,3.50,2,0,,character-driven,https://movielens.org/movies/184
185,"Net, The (1995)","Net, The",1995,Action; Crime; Thriller,3.04,112,1,computers,tense,https://movielens.org/movies/185
186,Nine Months (1995),Nine Months,1995,Comedy; Romance,2.82,48,0,,funny; romantic,https://movielens.org/movies/186
187,Party Girl (1995),Party Girl,1995,Comedy,4.13,4,0,,funny,https://movielens.org/movies/187
188,"Prophecy, The (1995)","Prophecy, The",1995,Fantasy; Horror; Mystery,3.46,12,0,,fantastical; dark,https://movielens.org/movies/188
189,Reckless (1995),Reckless,1995,Comedy; Fantasy,3.00,1,0,,funny; fantastical,https://movielens.org/movies/189
190,Safe (1995),Safe,1995,Thriller,2.80,5,0,,tense,https://movielens.org/movies/190
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",1995,Drama; Romance,2.42,6,0,,character-driven; romantic,https://movielens.org/movies/191
193,Showgirls (1995),Showgirls,1995,Drama,2.47,35,0,,character-driven,https://movielens.org/movies/193
194,Smoke (1995),Smoke,1995,Comedy; Drama,3.67,18,0,,funny; character-driven,https://movielens.org/movies/194
195,Something to Talk About (1995),Something to Talk About,1995,Comedy; Drama; Romance,3.10,10,0,,funny; character-driven; romantic,https://movielens.org/movies/195
196,Species (1995),Species,1995,Horror; Sci-Fi,2.67,45,0,,imaginative; dark,https://movielens.org/movies/196
198,Strange Days (1995),Strange Days,1995,Action; Crime; Drama; Mystery; Sci-Fi; Thriller,3.25,28,0,,character-driven; tense; imaginative,https://movielens.org/movies/198
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama; Musical; Romance,4.13,4,1,made me cry,character-driven; romantic,https://movielens.org/movies/199
201,Three Wishes (1995),Three Wishes,1995,Drama; Fantasy,3.00,1,0,,character-driven; fantastical,https://movielens.org/movies/201
202,Total Eclipse (1995),Total Eclipse,1995,Drama; Romance,3.00,1,0,,character-driven; romantic,https://movielens.org/movies/202
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,3.43,22,0,,funny,https://movielens.org/movies/203
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,1995,Action,2.72,30,0,,general audience,https://movielens.org/movies/204
205,Unstrung Heroes (1995),Unstrung Heroes,1995,Comedy; Drama,3.17,9,0,,funny; character-driven,https://movielens.org/movies/205
206,Unzipped (1995),Unzipped,1995,Documentary,3.00,2,0,,real-world,https://movielens.org/movies/206
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",1995,Drama; Romance,3.43,21,0,,character-driven; romantic,https://movielens.org/movies/207
208,Waterworld (1995),Waterworld,1995,Action; Adventure; Sci-Fi,2.91,115,0,,imaginative,https://movielens.org/movies/208
209,White Man's Burden (1995),White Man's Burden,1995,Drama,3.17,3,0,,character-driven,https://movielens.org/movies/209
210,Wild Bill (1995),Wild Bill,1995,Western,3.00,4,0,,general audience,https://movielens.org/movies/210
211,"Browning Version, The (1994)","Browning Version, The",1994,Drama,3.50,2,0,,character-driven,https://movielens.org/movies/211
212,Bushwhacked (1995),Bushwhacked,1995,Adventure; Comedy; Crime; Mystery,3.00,3,0,,funny; tense,https://movielens.org/movies/212
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,3.83,6,0,,character-driven,https://movielens.org/movies/213
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),1994,Drama; War,4.00,2,0,,character-driven,https://movielens.org/movies/214
215,Before Sunrise (1995),Before Sunrise,1995,Drama; Romance,4.04,24,1,generation x,character-driven; romantic,https://movielens.org/movies/215
216,Billy Madison (1995),Billy Madison,1995,Comedy,3.33,49,3,adam sandler; school; stop looking at me swan,funny,https://movielens.org/movies/216
217,"Babysitter, The (1995)","Babysitter, The",1995,Drama; Thriller,2.33,6,0,,character-driven; tense,https://movielens.org/movies/217
218,Boys on the Side (1995),Boys on the Side,1995,Comedy; Drama,3.43,14,0,,funny; character-driven,https://movielens.org/movies/218
219,"Cure, The (1995)","Cure, The",1995,Drama,3.00,1,0,,character-driven,https://movielens.org/movies/219
220,Castle Freak (1995),Castle Freak,1995,Horror,3.00,1,0,,dark,https://movielens.org/movies/220
222,Circle of Friends (1995),Circle of Friends,1995,Drama; Romance,3.75,16,1,ireland,character-driven; romantic,https://movielens.org/movies/222
223,Clerks (1994),Clerks,1994,Comedy,3.86,104,6,cynical; generation x; hilarious; independent film; quirky; witty,funny; quirky,https://movielens.org/movies/223
224,Don Juan DeMarco (1995),Don Juan DeMarco,1995,Comedy; Drama; Romance,3.61,40,2,mental illness; psychology,funny; character-driven; romantic,https://movielens.org/movies/224
225,Disclosure (1994),Disclosure,1994,Drama; Thriller,3.54,52,0,,character-driven; tense,https://movielens.org/movies/225
227,Drop Zone (1994),Drop Zone,1994,Action; Thriller,2.86,22,0,,tense,https://movielens.org/movies/227
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,1995,Comedy,2.33,3,0,,funny,https://movielens.org/movies/228
229,Death and the Maiden (1994),Death and the Maiden,1994,Drama; Thriller,3.43,7,0,,character-driven; tense,https://movielens.org/movies/229
230,Dolores Claiborne (1995),Dolores Claiborne,1995,Drama; Thriller,3.40,24,1,stephen king,character-driven; tense,https://movielens.org/movies/230
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber (Dumb and Dumber),1994,Adventure; Comedy,3.06,133,0,,funny,https://movielens.org/movies/231
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman (Yin shi nan nu),1994,Comedy; Drama; Romance,3.89,14,1,in netflix queue,funny; character-driven; romantic,https://movielens.org/movies/232
233,Exotica (1994),Exotica,1994,Drama,3.50,12,0,,character-driven,https://movielens.org/movies/233
234,Exit to Eden (1994),Exit to Eden,1994,Comedy,2.59,17,0,,funny,https://movielens.org/movies/234
235,Ed Wood (1994),Ed Wood,1994,Comedy; Drama,3.68,70,1,movie business,funny; character-driven,https://movielens.org/movies/235
236,French Kiss (1995),French Kiss,1995,Action; Comedy; Romance,3.48,45,0,,funny; romantic,https://movielens.org/movies/236
237,Forget Paris (1995),Forget Paris,1995,Comedy; Romance,3.34,22,3,basketball; france; infertility,funny; romantic,https://movielens.org/movies/237
